<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.VKCO:TQBR,D,20210524,000000,1530.6000000,1563.8000000,1530.0000000,1562.2000000,321404
MOEX.VKCO:TQBR,D,20210525,000000,1564.0000000,1573.8000000,1552.0000000,1570.0000000,331201
MOEX.VKCO:TQBR,D,20210526,000000,1573.6000000,1632.6000000,1572.2000000,1630.2000000,954488
MOEX.VKCO:TQBR,D,20210527,000000,1630.2000000,1709.0000000,1615.2000000,1680.0000000,1786185
MOEX.VKCO:TQBR,D,20210528,000000,1676.8000000,1697.8000000,1642.0000000,1669.6000000,709406
MOEX.VKCO:TQBR,D,20210531,000000,1674.6000000,1701.4000000,1665.6000000,1673.6000000,368876
MOEX.VKCO:TQBR,D,20210601,000000,1680.0000000,1717.0000000,1676.0000000,1693.4000000,515323
MOEX.VKCO:TQBR,D,20210602,000000,1694.0000000,1705.8000000,1672.2000000,1678.6000000,329439
MOEX.VKCO:TQBR,D,20210603,000000,1687.2000000,1689.0000000,1660.0000000,1673.6000000,309199
MOEX.VKCO:TQBR,D,20210604,000000,1673.8000000,1681.4000000,1639.2000000,1669.8000000,290302
MOEX.VKCO:TQBR,D,20210607,000000,1674.6000000,1674.6000000,1652.2000000,1663.0000000,214502
MOEX.VKCO:TQBR,D,20210608,000000,1662.0000000,1683.6000000,1660.0000000,1662.6000000,293967
MOEX.VKCO:TQBR,D,20210609,000000,1666.8000000,1680.0000000,1658.0000000,1670.0000000,270701
MOEX.VKCO:TQBR,D,20210610,000000,1670.6000000,1673.4000000,1654.0000000,1664.0000000,327171
MOEX.VKCO:TQBR,D,20210611,000000,1665.6000000,1668.2000000,1628.0000000,1637.8000000,320821
MOEX.VKCO:TQBR,D,20210614,000000,1640.8000000,1644.6000000,1625.4000000,1636.6000000,142312
MOEX.VKCO:TQBR,D,20210615,000000,1636.6000000,1637.4000000,1616.6000000,1618.0000000,246525
MOEX.VKCO:TQBR,D,20210616,000000,1615.2000000,1624.4000000,1597.0000000,1600.6000000,580801
MOEX.VKCO:TQBR,D,20210617,000000,1603.0000000,1642.8000000,1587.8000000,1631.4000000,401455
MOEX.VKCO:TQBR,D,20210618,000000,1638.0000000,1646.8000000,1611.8000000,1624.2000000,373970
MOEX.VKCO:TQBR,D,20210621,000000,1630.8000000,1643.2000000,1608.2000000,1614.0000000,274223
MOEX.VKCO:TQBR,D,20210622,000000,1621.0000000,1621.2000000,1592.0000000,1601.0000000,389909
MOEX.VKCO:TQBR,D,20210623,000000,1602.2000000,1609.0000000,1581.8000000,1602.2000000,349094
MOEX.VKCO:TQBR,D,20210624,000000,1604.4000000,1604.4000000,1581.4000000,1590.0000000,244223
MOEX.VKCO:TQBR,D,20210625,000000,1593.8000000,1620.0000000,1588.8000000,1610.8000000,241976
MOEX.VKCO:TQBR,D,20210628,000000,1610.8000000,1630.0000000,1602.0000000,1627.2000000,309855
MOEX.VKCO:TQBR,D,20210629,000000,1628.0000000,1645.0000000,1591.4000000,1622.0000000,427988
MOEX.VKCO:TQBR,D,20210630,000000,1616.0000000,1664.0000000,1605.4000000,1655.6000000,397655
MOEX.VKCO:TQBR,D,20210701,000000,1657.2000000,1677.6000000,1643.4000000,1669.4000000,361049
MOEX.VKCO:TQBR,D,20210702,000000,1670.0000000,1679.0000000,1650.0000000,1661.2000000,199716
MOEX.VKCO:TQBR,D,20210705,000000,1667.8000000,1668.8000000,1637.2000000,1658.0000000,193552
MOEX.VKCO:TQBR,D,20210706,000000,1658.0000000,1665.2000000,1643.4000000,1649.0000000,350720
MOEX.VKCO:TQBR,D,20210707,000000,1650.4000000,1669.2000000,1646.8000000,1649.0000000,259954
MOEX.VKCO:TQBR,D,20210708,000000,1649.0000000,1650.4000000,1623.6000000,1629.8000000,300085
MOEX.VKCO:TQBR,D,20210709,000000,1626.6000000,1641.0000000,1605.0000000,1616.0000000,233526
MOEX.VKCO:TQBR,D,20210712,000000,1614.6000000,1620.6000000,1599.4000000,1619.6000000,181586
MOEX.VKCO:TQBR,D,20210713,000000,1619.4000000,1650.0000000,1612.2000000,1642.4000000,216623
MOEX.VKCO:TQBR,D,20210714,000000,1647.8000000,1647.8000000,1606.0000000,1607.0000000,291297
MOEX.VKCO:TQBR,D,20210715,000000,1606.0000000,1618.8000000,1578.0000000,1585.2000000,437482
MOEX.VKCO:TQBR,D,20210716,000000,1594.8000000,1604.0000000,1557.6000000,1560.8000000,277366
MOEX.VKCO:TQBR,D,20210719,000000,1561.4000000,1567.4000000,1513.4000000,1528.6000000,451228
MOEX.VKCO:TQBR,D,20210720,000000,1534.8000000,1543.0000000,1516.4000000,1534.0000000,205688
MOEX.VKCO:TQBR,D,20210721,000000,1536.0000000,1564.2000000,1525.8000000,1541.0000000,175222
MOEX.VKCO:TQBR,D,20210722,000000,1553.0000000,1557.8000000,1533.4000000,1549.0000000,172300
MOEX.VKCO:TQBR,D,20210723,000000,1549.8000000,1560.0000000,1525.0000000,1539.0000000,148757
MOEX.VKCO:TQBR,D,20210726,000000,1536.2000000,1547.2000000,1523.0000000,1544.0000000,140897
MOEX.VKCO:TQBR,D,20210727,000000,1544.0000000,1544.0000000,1508.8000000,1517.4000000,233678
MOEX.VKCO:TQBR,D,20210728,000000,1523.6000000,1554.6000000,1519.2000000,1548.6000000,192010
MOEX.VKCO:TQBR,D,20210729,000000,1555.0000000,1558.4000000,1515.4000000,1520.4000000,508863
MOEX.VKCO:TQBR,D,20210730,000000,1517.6000000,1523.2000000,1500.6000000,1514.8000000,430663
MOEX.VKCO:TQBR,D,20210802,000000,1519.2000000,1520.6000000,1500.4000000,1506.4000000,250450
MOEX.VKCO:TQBR,D,20210803,000000,1506.4000000,1508.8000000,1470.0000000,1481.4000000,513667
MOEX.VKCO:TQBR,D,20210804,000000,1483.2000000,1491.8000000,1478.4000000,1487.8000000,205847
MOEX.VKCO:TQBR,D,20210805,000000,1490.4000000,1508.0000000,1480.4000000,1507.0000000,239633
MOEX.VKCO:TQBR,D,20210806,000000,1507.8000000,1526.0000000,1495.6000000,1506.0000000,266920
MOEX.VKCO:TQBR,D,20210809,000000,1504.2000000,1521.6000000,1495.4000000,1505.6000000,183866
MOEX.VKCO:TQBR,D,20210810,000000,1510.2000000,1519.2000000,1502.0000000,1515.0000000,252210
MOEX.VKCO:TQBR,D,20210811,000000,1518.8000000,1549.0000000,1513.4000000,1543.0000000,353070
MOEX.VKCO:TQBR,D,20210812,000000,1549.4000000,1553.8000000,1525.8000000,1536.6000000,204407
MOEX.VKCO:TQBR,D,20210813,000000,1536.6000000,1539.0000000,1508.2000000,1513.8000000,217272
MOEX.VKCO:TQBR,D,20210816,000000,1513.8000000,1514.4000000,1486.0000000,1494.0000000,301687
MOEX.VKCO:TQBR,D,20210817,000000,1491.2000000,1500.0000000,1478.0000000,1488.8000000,263812
MOEX.VKCO:TQBR,D,20210818,000000,1490.0000000,1496.2000000,1480.0000000,1482.0000000,181284
MOEX.VKCO:TQBR,D,20210819,000000,1481.0000000,1487.6000000,1466.0000000,1482.6000000,337864
MOEX.VKCO:TQBR,D,20210820,000000,1483.0000000,1483.0000000,1438.6000000,1441.6000000,466932
MOEX.VKCO:TQBR,D,20210823,000000,1444.8000000,1456.4000000,1413.8000000,1426.2000000,436935
MOEX.VKCO:TQBR,D,20210824,000000,1432.0000000,1438.8000000,1419.0000000,1436.4000000,288082
MOEX.VKCO:TQBR,D,20210825,000000,1437.0000000,1449.4000000,1426.4000000,1436.0000000,369496
MOEX.VKCO:TQBR,D,20210826,000000,1435.0000000,1442.6000000,1421.0000000,1432.2000000,208221
MOEX.VKCO:TQBR,D,20210827,000000,1432.2000000,1436.0000000,1420.0000000,1430.2000000,219027
MOEX.VKCO:TQBR,D,20210830,000000,1430.2000000,1443.8000000,1425.2000000,1436.0000000,192590
MOEX.VKCO:TQBR,D,20210831,000000,1440.0000000,1486.8000000,1438.4000000,1484.4000000,698413
MOEX.VKCO:TQBR,D,20210901,000000,1488.0000000,1521.2000000,1469.0000000,1519.0000000,602714
MOEX.VKCO:TQBR,D,20210902,000000,1514.8000000,1545.2000000,1505.6000000,1535.2000000,451711
MOEX.VKCO:TQBR,D,20210903,000000,1542.2000000,1544.0000000,1506.0000000,1541.0000000,274721
MOEX.VKCO:TQBR,D,20210906,000000,1541.0000000,1561.0000000,1531.2000000,1541.2000000,302195
MOEX.VKCO:TQBR,D,20210907,000000,1542.0000000,1547.6000000,1512.0000000,1536.0000000,296865
MOEX.VKCO:TQBR,D,20210908,000000,1539.2000000,1542.4000000,1522.6000000,1529.8000000,230097
MOEX.VKCO:TQBR,D,20210909,000000,1525.0000000,1530.2000000,1512.2000000,1514.8000000,202724
MOEX.VKCO:TQBR,D,20210910,000000,1518.0000000,1534.8000000,1515.4000000,1530.8000000,199093
MOEX.VKCO:TQBR,D,20210913,000000,1533.2000000,1592.4000000,1530.2000000,1586.4000000,613423
MOEX.VKCO:TQBR,D,20210914,000000,1590.0000000,1594.8000000,1564.8000000,1571.2000000,457639
MOEX.VKCO:TQBR,D,20210915,000000,1577.6000000,1586.0000000,1553.4000000,1557.2000000,229283
MOEX.VKCO:TQBR,D,20210916,000000,1557.4000000,1572.0000000,1540.2000000,1559.2000000,359493
MOEX.VKCO:TQBR,D,20210917,000000,1566.6000000,1582.8000000,1558.2000000,1570.4000000,340402
MOEX.VKCO:TQBR,D,20210920,000000,1570.2000000,1576.2000000,1515.0000000,1521.4000000,411345
MOEX.VKCO:TQBR,D,20210921,000000,1527.6000000,1546.8000000,1516.2000000,1535.0000000,250749
MOEX.VKCO:TQBR,D,20210922,000000,1540.0000000,1540.2000000,1521.4000000,1537.8000000,202833
